device_location,tag1=speed latitude=52.4943235 1687867200000000000
device_location,tag1=speed latitude=52.4943705 1687867380000000000
device_location,tag1=speed latitude=52.4943952 1687867440000000000
device_location,tag1=speed latitude=52.4943817 1687867500000000000
device_location,tag1=speed latitude=52.4943929 1687867560000000000
device_location,tag1=speed latitude=52.4943909 1687867620000000000
device_location,tag1=speed latitude=52.4944052 1687867680000000000
device_location,tag1=speed latitude=52.4944238 1687867800000000000
device_location,tag1=speed latitude=52.4943554 1687867860000000000
device_location,tag1=speed latitude=52.4942854 1687867920000000000
device_location,tag1=speed latitude=52.4944302 1687868160000000000
device_location,tag1=speed latitude=52.4944159 1687868220000000000
device_location,tag1=speed latitude=52.4944353 1687868280000000000
device_location,tag1=speed latitude=52.4943542 1687868340000000000
device_location,tag1=speed latitude=52.494379 1687868400000000000
device_location,tag1=speed longitude=0.7167917 1687867200000000000
device_location,tag1=speed longitude=0.7166295 1687867380000000000
device_location,tag1=speed longitude=0.7166379 1687867440000000000
device_location,tag1=speed longitude=0.7165911 1687867500000000000
device_location,tag1=speed longitude=0.7165963 1687867560000000000
device_location,tag1=speed longitude=0.7165782 1687867620000000000
device_location,tag1=speed longitude=0.7166274 1687867680000000000
device_location,tag1=speed longitude=0.7165727 1687867800000000000
device_location,tag1=speed longitude=0.7168433 1687867860000000000
device_location,tag1=speed longitude=0.7169106 1687867920000000000
device_location,tag1=speed longitude=0.7165527 1687868160000000000
device_location,tag1=speed longitude=0.7165559 1687868220000000000
device_location,tag1=speed longitude=0.7166495 1687868280000000000
device_location,tag1=speed longitude=0.7166965 1687868340000000000
device_location,tag1=speed longitude=0.716637 1687868400000000000
device_location,tag1=speed speed=0.305 1687867200000000000
device_location,tag1=speed speed=0.351 1687867380000000000
device_location,tag1=speed speed=0.509 1687867440000000000
device_location,tag1=speed speed=0.57 1687867500000000000
device_location,tag1=speed speed=0.373 1687867560000000000
device_location,tag1=speed speed=0.349 1687867620000000000
device_location,tag1=speed speed=0.599 1687867680000000000
device_location,tag1=speed speed=1.556 1687867800000000000
device_location,tag1=speed speed=1.126 1687867860000000000
device_location,tag1=speed speed=0.644 1687867920000000000
device_location,tag1=speed speed=0.27 1687868160000000000
device_location,tag1=speed speed=0.651 1687868220000000000
device_location,tag1=speed speed=0.891 1687868280000000000
device_location,tag1=speed speed=0.912 1687868340000000000
device_location,tag1=speed speed=0.327 1687868400000000000