date,close,volume,open,high,low
11/03/2023,1999.20,211154,1993.50,2011.90,1989.30
11/02/2023,1993.50,150476,1992.00,1999.20,1986.30
11/01/2023,1987.50,190094,1993.30,2005.90,1978.20
10/31/2023,1994.30,205951,2005.60,2017.70,1987.40
10/30/2023,2005.60,177834,2013.50,2012.40,1999.70
10/27/2023,1998.50,206932,1995.00,2019.70,1986.40
10/26/2023,1997.40,208597,1991.20,2003.70,1981.60
10/25/2023,1994.90,235699,1982.70,1998.60,1973.60
10/24/2023,1986.10,191586,1984.10,1989.00,1970.00
10/23/2023,1987.80,204959,1987.70,1990.90,1982.60
10/20/2023,1994.40,279162,1988.00,2009.20,1983.70
10/19/2023,1980.50,253690,1960.10,1990.20,1957.00
10/18/2023,1968.30,261064,1936.70,1975.80,1935.90
10/17/2023,1935.70,159430,1933.30,1944.50,1924.60
10/16/2023,1934.30,174742,1941.30,1943.00,1921.20
10/13/2023,1941.50,298561,1881.70,1946.20,1881.50
10/12/2023,1883.00,158089,1888.10,1898.30,1880.60
10/11/2023,1887.30,162914,1873.70,1890.90,1871.70