,result,table,_start,_stop,_time,_value,_field,_measurement,machine,name
,,1,2024-10-08T01:53:09.004958377Z,2024-10-08T01:54:09.004958377Z,2024-10-08T01:53:52.953284608Z,7.48,current_avg_dwell,zones,apache2-NUC9i9,Zone-0
,,1,2024-10-08T01:53:09.004958377Z,2024-10-08T01:54:09.004958377Z,2024-10-08T01:53:52.95382784Z,7.48,current_avg_dwell,zones,apache2-NUC9i9,Zone-0
,,1,2024-10-08T01:53:09.004958377Z,2024-10-08T01:54:09.004958377Z,2024-10-08T01:53:54.95339776Z,7.48,current_avg_dwell,zones,apache2-NUC9i9,Zone-0
,,1,2024-10-08T01:53:09.004958377Z,2024-10-08T01:54:09.004958377Z,2024-10-08T01:53:54.954003456Z,7.48,current_avg_dwell,zones,apache2-NUC9i9,Zone-0
,,1,2024-10-08T01:53:09.004958377Z,2024-10-08T01:54:09.004958377Z,2024-10-08T01:53:56.953265152Z,7.48,current_avg_dwell,zones,apache2-NUC9i9,Zone-0
,,1,2024-10-08T01:53:09.004958377Z,2024-10-08T01:54:09.004958377Z,2024-10-08T01:53:56.953859328Z,7.48,current_avg_dwell,zones,apache2-NUC9i9,Zone-0
,,1,2024-10-08T01:53:09.004958377Z,2024-10-08T01:54:09.004958377Z,2024-10-08T01:53:58.953310208Z,7.48,current_avg_dwell,zones,apache2-NUC9i9,Zone-0
,,1,2024-10-08T01:53:09.004958377Z,2024-10-08T01:54:09.004958377Z,2024-10-08T01:53:58.95385472Z,7.48,current_avg_dwell,zones,apache2-NUC9i9,Zone-0
,,1,2024-10-08T01:53:09.004958377Z,2024-10-08T01:54:09.004958377Z,2024-10-08T01:54:00.953292544Z,7.48,current_avg_dwell,zones,apache2-NUC9i9,Zone-0
,,4,2024-10-08T01:53:09.004958377Z,2024-10-08T01:54:09.004958377Z,2024-10-08T01:53:52.953284608Z,5.509,current_avg_dwell,zones,apache2-NUC9i9,Zone-1
,,4,2024-10-08T01:53:09.004958377Z,2024-10-08T01:54:09.004958377Z,2024-10-08T01:53:52.95382784Z,5.509,current_avg_dwell,zones,apache2-NUC9i9,Zone-1
,,4,2024-10-08T01:53:09.004958377Z,2024-10-08T01:54:09.004958377Z,2024-10-08T01:53:54.95339776Z,5.509,current_avg_dwell,zones,apache2-NUC9i9,Zone-1
,,4,2024-10-08T01:53:09.004958377Z,2024-10-08T01:54:09.004958377Z,2024-10-08T01:53:54.954003456Z,5.509,current_avg_dwell,zones,apache2-NUC9i9,Zone-1
,,4,2024-10-08T01:53:09.004958377Z,2024-10-08T01:54:09.004958377Z,2024-10-08T01:53:56.953265152Z,5.509,current_avg_dwell,zones,apache2-NUC9i9,Zone-1
,,4,2024-10-08T01:53:09.004958377Z,2024-10-08T01:54:09.004958377Z,2024-10-08T01:53:56.953859328Z,5.509,current_avg_dwell,zones,apache2-NUC9i9,Zone-1
,,4,2024-10-08T01:53:09.004958377Z,2024-10-08T01:54:09.004958377Z,2024-10-08T01:53:58.953310208Z,5.509,current_avg_dwell,zones,apache2-NUC9i9,Zone-1
,,4,2024-10-08T01:53:09.004958377Z,2024-10-08T01:54:09.004958377Z,2024-10-08T01:53:58.95385472Z,5.509,current_avg_dwell,zones,apache2-NUC9i9,Zone-1
,,4,2024-10-08T01:53:09.004958377Z,2024-10-08T01:54:09.004958377Z,2024-10-08T01:54:00.953292544Z,5.509,current_avg_dwell,zones,apache2-NUC9i9,Zone-1